Date,Source,Description,Link
30-07-2024,BSE,Market Lot Change for Bonus issue of GOEL FOOD PRODUCTS LIMITED(Scrip Code: 543538),https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-12
30-07-2024,BSE,Action against the Defaulting Companies for non-payment of Annual Listing Fees (ALF)  Equity Segment,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-11
30-07-2024,BSE,Addition to the BSE SME IPO INDEX,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-10
30-07-2024,BSE,Introduction of Any Day STP facility under Weekly option in BANDHAN Mutual Fund,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-9
30-07-2024,BSE,Listing of New Securities of VINTAGE COFFEE AND BEVERAGES LIMITED,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-8
30-07-2024,BSE,Suspension of trading in T-Bills ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-7
30-07-2024,BSE,Resignation of Trading Members ,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-6
30-07-2024,BSE,Non-Competitive Bidding for Auction of GoI dated Securities (G-secs) on August 02 2024,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-5
30-07-2024,BSE,Commencement of business by Trading Member Delta Techinvest Private Limited (Member Code: 6887) in Cash and Equity Derivatives segments,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-4
30-07-2024,BSE,Demat Auction - 682,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-3
30-07-2024,BSE,Forfeiture of Equity Shares of Aarti Surfactants Ltd.,https://www.bseindia.com/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-2
