date,subject,link
"Jul 29, 2024","Consultation Paper on proposed amendments to the SEBI (Prohibition of Insider Trading) Regulations, 2015 to rationalize the scope of the expression ‘connected person’, while not increasing compliance requirements Click here to provide your comments",https://www.sebi.gov.in/reports-and-statistics/reports/jul-2024/consultation-paper-on-proposed-amendments-to-the-sebi-prohibition-of-insider-trading-regulations-2015-to-rationalize-the-scope-of-the-expression-connected-person-while-not-increasing-compliance-_85249.html
"Jul 29, 2024",Notices of Attachment dated 29.07.2024 under Recovery Certificate No. 7787 of 2024 issued against Indira Prashant Karkera (PAN: ADUPK3802B) in the matter of Sharepro Services (I) Private Limited.,https://www.sebi.gov.in/enforcement/recovery-proceedings/jul-2024/notices-of-attachment-dated-29-07-2024-under-recovery-certificate-no-7787-of-2024-issued-against-indira-prashant-karkera-pan-adupk3802b-in-the-matter-of-sharepro-services-i-private-limited-_85247.html
"Jul 29, 2024",SEBI Bulletin - July 2024 [MSExcel]   [Annexure Tables],https://www.sebi.gov.in/reports-and-statistics/publications/jul-2024/sebi-bulletin-july-2024_85245.html
"Jul 29, 2024",Appeal No.6074 of 2024 filed by Amar Patil,https://www.sebi.gov.in/enforcement/orders/jul-2024/appeal-no-6074-of-2024-filed-by-amar-patil_85243.html
"Jul 29, 2024",UTSSAV CZ GOLD JEWELS LIMITED,https://www.sebi.gov.in/filings/public-issues/jul-2024/utssav-cz-gold-jewels-limited_85241.html
"Jul 29, 2024",Appeal No.6073 of 2024 filed by Sonia Nagpal,https://www.sebi.gov.in/enforcement/orders/jul-2024/appeal-no-6073-of-2024-filed-by-sonia-nagpal_85239.html
"Jul 29, 2024",Appeal No.6072 of 2024 filed by Karthikeyan A,https://www.sebi.gov.in/enforcement/orders/jul-2024/appeal-no-6072-of-2024-filed-by-karthikeyan-a_85237.html
"Jul 29, 2024",Appeal No.6071 of 2024 filed by Naresh Kumar,https://www.sebi.gov.in/enforcement/orders/jul-2024/appeal-no-6071-of-2024-filed-by-naresh-kumar_85236.html
"Jul 29, 2024",Appeal No.6070 of 2024 filed by Kulvinder Singh,https://www.sebi.gov.in/enforcement/orders/jul-2024/appeal-no-6070-of-2024-filed-by-kulvinder-singh_85235.html
"Jul 29, 2024",Release order for Recovery Certificate No. RC7738 of 2024 in respect of Moreplus Merchants Pvt Ltd (PAN: AAFCM6761L) in the matter of Mangalam Industrial Finance Ltd.,https://www.sebi.gov.in/enforcement/recovery-proceedings/jul-2024/release-order-for-recovery-certificate-no-rc7738-of-2024-in-respect-of-moreplus-merchants-pvt-ltd-pan-aafcm6761l-in-the-matter-of-mangalam-industrial-finance-ltd-_85233.html
"Jul 29, 2024",Completion of Recovery Certificate No. RC7738 of 2024 in respect of Moreplus Merchants Pvt Ltd (PAN: AAFCM6761L) in the matter of Mangalam Industrial Finance Ltd.,https://www.sebi.gov.in/enforcement/recovery-proceedings/jul-2024/completion-of-recovery-certificate-no-rc7738-of-2024-in-respect-of-moreplus-merchants-pvt-ltd-pan-aafcm6761l-in-the-matter-of-mangalam-industrial-finance-ltd-_85232.html
