Notice No,Subject,Segment Name,Category Name,Department,Notice Url
20240730-32,Listing of further securities issued by the companies under ESOP/ESOS,Equity,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-31,Listing of New Securities of Panchsheel Organic Ltd.,Equity,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-30,Listing of New Securities of Megastar Foods Limited,Equity,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-29,Availability of FRANKLIN INDIA MULTICAP FUND for ongoing transactions on BSE StAR MF Platform,Mutual Fund,Trading,Trading Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-28,Listing of Securities Srestha Finvest Limited,Equity,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-27,Listing of 1528 Bonus Equity Shares kept in abeyance of Castrol India Ltd.,Equity,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-26,Order in the matter of misstatements/irregularities in the financial statements of Omaxe Limited.,General,Compliance,DOSS,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-25,Enhanced Surveillance Measure (ESM),Equity,Trading,DOSS,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-24,Listing of new Commercial Paper of Mirae Asset Financial Services (India) Private Limited ,Debt,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-23,Listing of new Commercial Paper of Adani Enterprises Ltd. ,Debt,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-22,Listing of new Commercial Paper of KEC International Ltd. ,Debt,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-21,Listing of new Commercial Paper of ARKA FINCAP LIMITED,Debt,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-20,Listing of new Commercial Paper of Axis Finance Limited,Debt,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-19,Listing of new Commercial Paper of IndoStar Capital Finance Limited ,Debt,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-18,Listing of new Commercial Paper of BOBCARD Limited,Debt,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-17,Listing of new Commercial Paper of Tata Housing Development Company Limited,Debt,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-16,Listing of new Commercial Paper of Indian Oil Corporation Ltd,Debt,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-15,Listing of new debt securities of Setco Auto Systems Private Limited,Debt,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-14,Listing of Units of Aditya Birla Sun Life Nifty PSE ETF a scheme under Aditya Birla Sun Life Mutual Fund,Mutual Fund,Company related,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-13,Change in Name of the Company.,Equity,Corporate Actions,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240730-12,Market Lot Change for Bonus issue of GOEL FOOD PRODUCTS LIMITED(Scrip Code: 543538),Equity,Corporate Actions,Listing Operations,https://www.bseindia.com:6443/markets/MarketInfo/DispNewNoticesCirculars.aspx?page=20240730-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
